p,cx,cy,cz
255,1.35792,-0.49812,-0.150644,0.853922
256,0.657712,-0.434778,0.526913,0.730295
257,3.6969,-0.329377,-0.0462443,0.9430649999999999
258,0.9993629999999999,0.538301,0.134461,0.831957
259,4.04171,-0.152611,-0.21868,0.9637889999999999
260,1.29952,-0.26532,0.356371,0.895882
261,3.44139,-0.153672,-0.220041,0.963311
262,0.478221,0.41836,0.675094,0.607637
263,0.7577510000000001,-0.17164000000000001,0.51065,0.842482
264,0.53347,-0.411662,-0.635969,0.6527470000000001
265,1.29834,0.213211,-0.366562,0.905634
266,3.26409,-0.41702700000000004,-0.0410269,0.907968
267,3.2829900000000003,0.215216,0.219952,0.9514739999999999
268,2.3625700000000003,0.322573,0.0474191,0.945356
269,0.743263,0.5087470000000001,-0.445988,0.736391
270,1.06002,0.533275,-0.367354,0.762016
271,3.45624,-0.180203,0.279173,0.9431809999999999
272,3.38551,0.372694,-0.0192098,0.9277559999999999
273,1.69285,-0.406982,0.030966300000000002,0.912911
274,2.95643,-0.13489,0.240605,0.9612040000000001
275,2.5470900000000003,-0.344404,-0.011601899999999998,0.93875
276,3.91151,-0.15024400000000002,-0.25467199999999995,0.955284
277,3.15147,0.348927,-0.00844211,0.9371120000000001
278,1.28362,-0.4902,-0.11897200000000001,0.863452
279,1.57992,-0.236688,-0.316242,0.9186780000000001
280,1.8244099999999999,0.22327399999999997,-0.297616,0.9282100000000001
281,1.19126,0.345146,-0.423996,0.837318
282,0.8576090000000001,0.5007119999999999,-0.213236,0.838939
283,0.5795,-0.8341,-0.15886199999999998,0.528242
284,1.63547,0.0970943,0.54661,0.8317389999999999
285,0.591137,-0.13977799999999999,0.6796989999999999,0.72005
286,1.8709900000000002,0.277498,0.41671400000000003,0.8656469999999999
287,0.671391,-0.36186599999999997,-0.746649,0.558182
288,0.5054069999999999,-0.076564,0.892503,0.444496
289,0.875433,0.48384099999999997,0.07352360000000001,0.8720620000000001
290,2.05269,0.158904,0.418009,0.894437
291,0.480761,0.536986,-0.6326609999999999,0.55802
292,0.787455,-0.22537,-0.530654,0.817077
293,3.25313,-0.15553699999999998,-0.231977,0.960206
294,1.5064899999999999,-0.13533199999999998,-0.6580199999999999,0.740739
295,1.39904,-0.270716,-0.403642,0.873948
296,0.626502,0.255601,-0.664999,0.7017439999999999
297,1.35737,0.642462,0.00385041,0.766308
298,1.65737,0.466855,-0.170745,0.8676940000000001
299,1.80834,-0.141966,-0.5366569999999999,0.831772
300,1.03997,-0.508273,-0.045554000000000004,0.8599899999999999
301,3.51464,0.320493,0.0334305,0.9466610000000001
302,0.612437,0.149792,0.8395450000000001,0.5222319999999999
303,1.18997,-0.166932,0.585339,0.7934180000000001
304,1.14123,-0.702098,0.157817,0.694372
305,1.90107,0.191885,0.39874,0.8967649999999999
306,1.0604799999999999,0.210312,0.455691,0.864936
307,3.1659200000000003,-0.15745499999999998,0.23108299999999998,0.960108
308,0.747831,0.540007,0.0953342,0.8362440000000001
309,1.45097,0.212403,-0.47798500000000005,0.8523
310,0.8641709999999999,0.392251,-0.44956999999999997,0.802512
311,3.3164300000000004,0.272755,0.0279654,0.961677
312,1.12005,0.641131,0.214707,0.736785
313,0.600078,-0.6203270000000001,0.00963076,0.784284
314,1.3443,-0.29447399999999996,-0.513045,0.806269
315,4.08384,-0.0835,0.24484499999999998,0.96596
316,0.9109450000000001,0.700009,0.20291199999999998,0.6847
317,2.3254099999999998,-0.205979,-0.398879,0.8935709999999999
318,1.4029399999999999,-0.23893899999999998,0.390426,0.8890870000000001
319,1.66681,0.146674,-0.342656,0.927941
320,1.7284700000000002,-0.397392,0.331085,0.8558399999999999
321,2.12186,0.09922689999999999,-0.361467,0.92709
322,2.81176,-0.15691,-0.284023,0.945891
323,0.9512719999999999,0.272621,0.631102,0.7262149999999999
324,0.591308,-0.195596,-0.6962619999999999,0.690624
325,0.650702,0.8249860000000001,0.177595,0.536524
326,0.704024,-0.44420299999999996,-0.659021,0.606939
327,3.23155,-0.141774,-0.27516,0.950888
328,0.597615,0.687652,-0.0887365,0.720597
329,1.2662,0.447575,0.029249900000000002,0.893768
330,2.39452,-0.175076,-0.43881000000000003,0.881359
331,0.657043,0.22665900000000003,-0.524045,0.8209770000000001
332,3.5148900000000003,0.317913,0.0420392,0.9471870000000001
333,0.8731549999999999,-0.374136,-0.398914,0.837192
334,3.47804,0.32304,-0.0425625,0.945428
335,1.18813,-0.105476,0.610797,0.78473
336,0.5109279999999999,-0.33870500000000003,-0.645714,0.684349
337,3.1918900000000003,-0.101632,-0.27671999999999997,0.9555610000000001
338,2.74189,-0.362215,0.019455,0.931892
339,0.426396,-0.623958,0.6055050000000001,0.49400299999999997
340,0.710313,0.55128,0.523867,0.649349
341,1.05811,0.50579,-0.523885,0.685362
342,0.648987,-0.25632,-0.615162,0.745571
343,3.60837,0.27578600000000003,-0.00513532,0.961205
344,3.7231400000000003,-0.329156,-0.013181899999999998,0.944183
345,2.06946,0.333858,-0.0391272,0.9418110000000001
346,1.29892,-0.328598,-0.40663699999999997,0.85245
347,0.773591,0.410901,0.558132,0.720867
348,0.8540909999999999,0.36408,0.399823,0.841182
349,3.9419,0.27323800000000004,-0.0397138,0.961126
350,0.8060510000000001,0.15904400000000002,-0.5980260000000001,0.785538
351,1.70137,-0.301836,-0.42208599999999996,0.854833
352,0.564332,-0.326423,0.595605,0.733963
353,3.8846,0.150837,-0.21367399999999998,0.96519
354,0.66071,-0.376157,0.579124,0.723271
355,0.745079,0.605329,-0.27060300000000004,0.7485649999999999
356,0.630199,0.5938060000000001,0.133161,0.793513
357,0.764404,-0.33211999999999997,-0.666222,0.667716
358,1.8702599999999998,-0.364454,0.0668423,0.9288190000000001
359,3.6305699999999996,-0.258999,0.030100599999999998,0.965409
360,3.3359199999999998,-0.167844,0.293632,0.941068
361,0.705092,0.257658,0.6559689999999999,0.709449
362,1.87422,-0.235359,0.376753,0.895915
363,0.597933,0.8199879999999999,0.0625624,0.568951
364,0.556198,0.7315470000000001,0.0443371,0.680348
365,0.7186939999999999,0.531146,0.136181,0.8362649999999999
366,3.80085,-0.261488,0.026660900000000005,0.9648389999999999
367,1.06542,-0.0896808,0.668792,0.73802
368,3.21486,-0.166891,0.269892,0.948317
369,0.990158,0.7458739999999999,-0.14469100000000001,0.650181
370,3.9982699999999998,-0.285209,0.00395823,0.958457
371,3.64605,0.256885,-0.019270500000000003,0.96625
372,0.632308,-0.561243,-0.495526,0.662918
373,0.567134,-0.45263400000000004,0.42196999999999996,0.7855340000000001
374,0.7697039999999999,0.38759499999999997,0.589955,0.708324
375,0.8477709999999999,0.41321800000000003,0.44585,0.794021
376,2.8892599999999997,-0.296746,-0.048676699999999996,0.953715
377,2.22348,-0.387506,-0.021209099999999998,0.921623
378,3.49382,0.334968,-0.015704,0.942098
379,0.846391,-0.136384,-0.684476,0.716164
380,1.63812,-0.226212,0.370948,0.9006799999999999
381,0.514597,-0.8425870000000001,0.08582730000000001,0.531678
382,0.6191770000000001,-0.754224,0.225273,0.616765
383,3.13311,0.142843,-0.280604,0.9491350000000001
384,2.12454,0.269332,-0.32243099999999997,0.907468
385,0.656767,0.178912,0.581859,0.793367
386,3.6134,-0.321424,0.0205191,0.9467129999999999
387,0.7006180000000001,-0.441985,0.479642,0.758019
